country, order_value_EUR , amount,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,product_id
Sweden,17524.02,14122.61,2020-12-02,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466,M0002
Finland,116563.4,92807.78,2019-09-26,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323,M0003
Portugal,296465.56,257480.34,2019-11-07,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC,58-7703341,P0004
Portugal,74532.02,59752.32,2020-02-04,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,14-6700183,P0005
Spain,178763.42,146621.76,2019-12-22,Games,Johns and Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160,T0006
Spain,84900.24,73701.9,2020-07-14,Clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,PC,60-6998932,P0007
Portugal,71620.08,62245.01,2019-05-02,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,PC,69-6259390,P0008
UK,156585.22,126599.15,2020-08-30,Accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,PC,64-5761908,P0009
Portugal,78461.13,63537.82,2020-10-05,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746,M0010
France,64827.8,56043.63,2019-01-20,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495,P0011
Sweden,142664.34,120808.16,2019-04-05,Appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,PC,85-6625096,P0012
UK,66673.19,52811.83,2019-02-23,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,25-6368157,P0013
Portugal,136915.61,114790.05,2020-04-01,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365,T0014
UK,164971.7,132686.74,2019-07-20,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC,32-3534634,P0015
UK,149486.27,118662.2,2019-06-08,Beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,02-3972649,P0016
Sweden,54078.92,46102.28,2020-08-11,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,08-7576451,P0017
France,107499.78,91364.06,2019-02-26,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,68-3583935,P0018
UK,29493.79,24285.19,2019-11-22,Games,Tillman and Sons,Jessamine Apark,Jay Morefield,PC,53-7769693,P0019
Portugal,147656.52,124193.9,2019-05-06,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,PC,85-4732103,P0020
Portugal,156839.31,134709.28,2020-11-05,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,PC,27-9800293,P0021
Spain,81412.1,64747.04,2019-06-11,Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,67-3929836,P0022
Sweden,56717.53,45101.78,2019-10-03,Clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,13-0526029,P0023
Netherlands,17028.19,14102.75,2020-07-02,Clothing,Johns and Sons,Denice Amberg,Nero Harbisher,PC,38-5910704,P0024
Finland,236462.3,205674.91,2020-12-23,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC,41-6407014,P0025
Portugal,172989.17,142975.55,2020-10-06,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,PC,22-6745595,P0026
Sweden,48179.57,41405.52,2020-08-14,Books,Franecki-White,Maxie Marrow,Anita Woakes,PC,96-3022721,P0027
Portugal,121318.55,102890.26,2020-10-03,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329,T0028
